"","replicate","ANO","REGIAO","UF","MUNICIPIO","AREA","DEPENDENCIA_ADM","LOCALIZACAO","NOTA_LP","NOTA_MT","SEXO","RACA_COR","IDADE","COMPUTADOR","MORA_MÃE","MORA_PAI","REUNIÕES_ESCOLARES","USO_TEMPO_TELAS","AFAZERES_DOM","BIBLIOTECA"
"853",29,2017,2,28,2804508,2,3,1,151.451227,202.882137,"A","C","C","A","A","A","A","E","E","C"
"854",29,2017,2,27,2704609,2,3,2,166.612865,245.895084,"A","C","D","A","A","A","C","B","E","B"
"855",29,2017,2,26,2604601,2,3,1,180.069474,199.083695,"B","A","D","B","A","B","B",NA,"A","B"
"856",29,2017,4,43,4321832,2,2,1,207.888813,197.33991,"A","A","E","A","A","A","A","D","A","A"
"857",29,2017,1,13,1300904,2,2,1,241.918771,228.387371,"B","C","B","A","A","A","A","A","C","C"
"858",29,2017,5,53,5300108,1,2,1,216.938118,203.662562,"A","F","C","B","A","A","A","A","D","B"
"859",29,2017,3,35,3548708,2,3,1,223.227025,237.40817,"B","C","D","A","A","C","B","C","E","A"
"860",29,2017,3,33,3303500,2,3,1,232.769251,229.230731,"B","A","C","B","A","A","B","D","B","A"
"861",29,2017,5,52,5206404,2,3,1,238.330044,236.324194,"A","B","D","A","B","C","A","B","B","B"
"862",29,2017,3,35,3552502,2,2,1,176.832133,214.346827,"A","F","C","B","A","A","B","B","B","A"
"863",29,2017,4,41,4106407,2,3,1,207.705958,208.380992,"B","A","C","B","A","A","A","D","A","B"
"864",29,2017,5,52,5208707,1,3,1,194.638638,124.602137,"B","B","D","B","A","A","C","C","A","C"
"865",29,2017,5,53,5300108,1,2,1,249.782742,215.829763,"B","C","C","D","A","A","A","A","A","A"
"866",29,2017,2,26,2609907,2,3,1,207.365315,207.068473,"B","C","C","C",NA,"B","B","D","E","A"
"867",29,2017,3,35,3502804,2,3,1,271.25797,298.143735,"A","A","C","A","A","B","A","D","A","B"
"868",29,2017,4,41,4104808,2,3,1,296.678047,285.208742,"B","A","D","C","A","A","A","D","A","B"
"869",29,2017,3,35,3529401,2,2,1,201.480573,191.617709,"B","B","C","B","A","A","A","C","B","A"
"870",29,2017,1,14,1400605,2,3,1,288.958751,236.244771,"A","F","D","B","A","A","A","A","A","A"
"871",30,2017,1,15,1503903,2,3,2,143.868066,153.667098,"A","C","C","A","A","A","C","A","D","C"
"872",30,2017,5,53,5300108,1,2,1,233.727765,247.621766,"B","C","C","B","A","A","A","D","D","B"
"873",30,2017,2,29,2924405,2,3,1,172.393316,185.098428,"B","C","D","A","A","B","B","D","D","A"
"874",30,2017,3,35,3550308,1,3,1,158.543451,170.270976,"A","F",NA,"C","A","B","B","D","B","A"
"875",30,2017,3,35,3543907,2,3,1,175.225611,291.007626,"A","C","D","A","A","C","A","B","B","C"
"876",30,2017,4,41,4106902,1,3,1,223.3717,246.695518,"B","A","D","B","A","A","A","B","B","A"
"877",30,2017,2,29,2900702,2,3,1,225.592073,214.178088,"A",NA,"D","A","A","A","A","B","A","B"
"878",30,2017,2,22,2211001,1,3,1,171.983807,182.958982,"A","C","F","A","A","A",NA,NA,"D","C"
"879",30,2017,4,42,4216008,2,2,1,181.445872,168.960636,"A","A","D","A","A","A","B","D",NA,"B"
"880",30,2017,5,52,5200175,2,2,2,125.537127,151.766032,"B","A","H","A","B","B","B","D","B","A"
"881",30,2017,4,41,4119152,2,3,1,210.949745,232.347846,"B","A","C","C","A","B","B","C","B","C"
"882",30,2017,5,53,5300108,1,2,1,218.217276,214.278136,"A","B","F","D","A","A","A","A","C","A"
"883",30,2017,3,35,3547502,2,3,1,238.541327,247.587001,"B","A","C","D","A","A","A","D","E","B"
"884",30,2017,4,41,4106902,1,3,1,218.61549,213.314831,"B","A","C","C","A","A","A","A","A","B"
"885",30,2017,3,31,3136959,2,3,1,274.080899,277.897969,"A","C","D","A","A","A","C","A","A","B"
"886",30,2017,5,52,5221858,2,3,1,263.400003,277.69726,"A","C","D","A","A","A","C","A","D","B"
"887",30,2017,3,35,3529401,2,2,1,201.480573,191.617709,"B","B","C","B","A","A","A","C","B","A"
"888",30,2017,3,33,3304557,1,3,1,195.386696,201.211795,"A","E","C","B","A","A","B","A","E","B"
"889",30,2017,3,35,3550704,2,3,1,257.691505,241.560019,"B","A","C","C","A","A","A","B","B","B"
"890",30,2017,3,35,3536604,2,3,1,212.590205,263.557842,"A","C","C","A","A","A","A","A","A","B"
"891",30,2017,3,35,3554102,2,3,1,252.863728,299.262979,"A","A","D","B","A","A","A","D","E","B"
"892",30,2017,3,35,3553955,2,3,1,266.496856,289.193865,"B","C","C","A","A","A","A","C","E","B"
"893",30,2017,3,32,3205101,2,3,1,299.681407,235.715582,"B","C","D","B","A","A","A","B","A","A"
"894",30,2017,2,23,2305506,2,3,1,191.824965,217.813102,"B","C","D","A","A","B","A","A","A","B"
"895",30,2017,3,35,3546801,2,3,1,170.374199,201.073461,"A","F","E","A","B","A","A","D","E","C"
"896",30,2017,2,29,2924801,2,3,2,217.992715,173.577454,"B","C","C","A","A","B","A","A","A","C"
"897",30,2017,3,35,3540200,2,3,1,212.993874,210.903916,"B","C","C","B","A","C","B","B","D","C"
"898",30,2017,2,27,2704302,1,3,1,214.714605,201.591527,"B","C","H","A","A","B","C","B","B","B"
"899",30,2017,5,52,5219753,2,3,1,221.819555,212.708456,"A","C","C","B","A","A","A","D","C","A"
"900",30,2017,3,33,3302502,2,3,1,276.418124,270.709042,"B","C","C","B","A","B","A","B","D","B"
"901",31,2017,5,50,5001003,2,3,1,275.997211,249.154725,"B","C","C","C","A","A","C","B","A","C"
"902",31,2017,3,35,3513009,2,3,1,147.429246,179.322738,"A","C","D","B","B","A","A","A","E","A"
