ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,3,32,3205101,2,3,1,114.848243,167.181304,A,D,F,A,A,B,A,B,B,C
2017,2,29,2909307,2,3,1,208.323995,228.172465,A,C,E,B,B, ,C,A,C,C
2017,3,32,3201605,2,3,1,171.10033,194.140577,B,B,D,A,A,B,B,A,C,B
2017,3,33,3304524,2,3,1,221.06406,191.608599,B,C,E,B,A,C,A,C,A,B
2017,3,35,3534401,2,3,1,246.113084,271.484213,A,C,C,A,B,A,B,C,E,B
2017,1,17,1716208,2,3,2,160.947945,157.438712,B,C,G,A, ,B,C,A,B,B
2017,3,35,3545001,2,3,1,321.927005,304.179548,B,C,C,A,A,A,B,D,A,B
2017,1,13,1302603,1,3,1,254.362047,237.463615,A,C,C,A,A,A,A,B,D,B
2017,2,21,2112704,2,3,1,122.892976,146.747013,A,C,F,A,A,A,C,B,A,A
2017,3,35,3541406,2,3,1,206.646512,219.487412,B,A,D,A,A,A,A,D,A,B
2017,2,29,2924405,2,3,1,172.393316,185.098428,B,C,D,A,A,B,B,D,D,A
2017,4,41,4119301,2,3,1,213.290772,112.907115,A,F,F,A,A,A,A,A,B,A
